ProductID	RelatedProuductID
1	10
1	18
1	78
1	85
1	89
1	108
1	113
1	135
1	148
1	163
1	168
1	184
1	189
1	210
1	220
1	230
1	240
1	246
1	252
2	3
2	4
2	8
2	9
2	10
2	11
2	12
2	14
2	19
2	27
2	28
2	29
2	30
2	36
2	41
2	47
2	48
2	49
2	63
2	69
2	79
2	107
2	108
2	112
2	125
2	130
2	137
2	140
2	144
2	145
2	163
2	167
2	170
2	171
2	174
2	199
2	244
3	2
3	4
3	8
3	9
3	10
3	11
3	12
3	14
3	15
3	19
3	25
3	27
3	28
3	29
3	30
3	34
3	36
3	41
3	45
3	47
3	48
3	49
3	60
3	62
3	63
3	69
3	79
3	80
3	82
3	85
3	88
3	107
3	108
3	112
3	125
3	130
3	137
3	140
3	144
3	145
3	163
3	167
3	170
3	171
3	174
3	183
3	199
3	213
3	244
4	2
4	3
4	5
4	8
4	9
4	11
4	12
4	13
4	14
4	15
4	16
4	18
4	19
4	24
4	25
4	26
4	27
4	28
4	29
4	33
4	34
4	36
4	39
4	41
4	42
4	45
4	47
4	48
4	49
4	55
4	56
4	58
4	60
4	61
4	62
4	63
4	64
4	68
4	69
4	71
4	74
4	77
4	79
4	80
4	82
4	85
4	88
4	90
4	91
4	92
4	93
4	102
4	104
4	107
4	108
4	112
4	114
4	116
4	120
4	124
4	125
4	130
4	134
4	136
4	137
4	138
4	140
4	141
4	143
4	144
4	145
4	146
4	155
4	162
4	163
4	165
4	169
4	170
4	171
4	174
4	180
4	181
4	183
4	187
4	193
4	194
4	197
4	199
4	205
4	206
4	209
4	211
4	213
4	219
4	221
4	223
4	225
4	233
4	237
4	238
4	242
4	243
4	247
5	4
5	8
5	9
5	12
5	13
5	16
5	18
5	25
5	28
5	29
5	33
5	34
5	42
5	45
5	55
5	56
5	58
5	60
5	61
5	68
5	77
5	82
5	88
5	90
5	91
5	92
5	102
5	104
5	112
5	116
5	124
5	125
5	134
5	136
5	137
5	138
5	141
5	155
5	174
5	180
5	181
5	193
5	194
5	197
5	206
5	211
5	219
5	225
5	237
5	243
8	2
8	3
8	4
8	5
8	9
8	11
8	12
8	13
8	14
8	15
8	16
8	18
8	19
8	25
8	27
8	28
8	33
8	34
8	36
8	41
8	42
8	45
8	47
8	48
8	49
8	55
8	56
8	58
8	60
8	61
8	62
8	63
8	68
8	69
8	77
8	79
8	80
8	82
8	85
8	88
8	90
8	91
8	92
8	102
8	104
8	107
8	108
8	112
8	116
8	124
8	125
8	130
8	134
8	136
8	137
8	138
8	140
8	141
8	144
8	145
8	155
8	163
8	170
8	171
8	174
8	180
8	181
8	183
8	193
8	194
8	197
8	199
8	206
8	211
8	213
8	219
8	225
8	237
8	243
9	2
9	3
9	4
9	5
9	8
9	11
9	12
9	14
9	18
9	19
9	27
9	28
9	33
9	34
9	36
9	41
9	42
9	45
9	47
9	49
9	61
9	63
9	68
9	77
9	79
9	88
9	91
9	107
9	108
9	112
9	124
9	125
9	130
9	134
9	137
9	138
9	140
9	144
9	145
9	163
9	170
9	171
9	181
9	193
9	199
9	206
9	219
10	1
10	2
10	3
10	14
10	29
10	30
10	48
10	69
10	78
10	85
10	89
10	108
10	113
10	125
10	130
10	135
10	137
10	140
10	148
10	163
10	167
10	168
10	174
10	184
10	189
10	210
10	220
10	230
10	240
10	244
10	246
10	252
11	2
11	3
11	4
11	8
11	9
11	12
11	14
11	19
11	27
11	28
11	36
11	41
11	47
11	49
11	63
11	79
11	107
11	108
11	112
11	125
11	130
11	137
11	140
11	144
11	145
11	163
11	170
11	171
11	199
12	2
12	3
12	4
12	5
12	8
12	9
12	11
12	14
12	18
12	19
12	27
12	28
12	33
12	34
12	36
12	41
12	42
12	45
12	47
12	49
12	61
12	63
12	68
12	77
12	79
12	88
12	91
12	107
12	108
12	112
12	124
12	125
12	130
12	134
12	137
12	138
12	140
12	144
12	145
12	163
12	170
12	171
12	181
12	193
12	199
12	206
12	219
13	4
13	5
13	8
13	16
13	18
13	25
13	55
13	56
13	58
13	60
13	90
13	92
13	102
13	104
13	116
13	136
13	137
13	141
13	155
13	174
13	180
13	194
13	197
13	211
13	225
13	237
13	243
14	2
14	3
14	4
14	8
14	9
14	10
14	11
14	12
14	19
14	27
14	28
14	29
14	30
14	36
14	41
14	47
14	48
14	49
14	63
14	69
14	79
14	107
14	108
14	112
14	125
14	130
14	137
14	140
14	144
14	145
14	163
14	167
14	170
14	171
14	174
14	199
14	244
15	3
15	4
15	8
15	24
15	25
15	26
15	34
15	39
15	45
15	48
15	60
15	62
15	64
15	69
15	71
15	74
15	79
15	80
15	82
15	85
15	88
15	93
15	114
15	120
15	143
